,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id
0,China.pigfarm.SRR5976187_ctg_141255_00002,-,TetM-TetW-TetO-TetS,RF0133,0.0,1133.4,4.1,0.0,1133.2,4.1,1.0,1,0,0,1,1,1,1,tetracycline resistance ribosomal protection protein Tet(44) ,China.pigfarm.SRR5976187,ctg_141255,2
1,China.pigfarm.SRR5976181_ctg_4006_00004,-,TetM-TetW-TetO-TetS,RF0133,0.0,1127.9,4.5,0.0,1127.7,4.5,1.0,1,0,0,1,1,1,1,tetracycline resistance ribosomal protection protein Tet(44) ,China.pigfarm.SRR5976181,ctg_4006,4
2,China.pigfarm.SRR5976181_ctg_351864_00003,-,RND_efflux,RF0115,1.9e-299,998.6,7.7,2.3e-299,998.3,7.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepG  ,China.pigfarm.SRR5976181,ctg_351864,3
3,China.pigfarm.SRR5976181_ctg_736610_00003,-,RND_efflux,RF0115,1.5e-293,979.1,6.8,1.6e-293,978.9,6.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_736610,3
4,China.pigfarm.SRR5976187_ctg_169313_00001,-,RND_efflux,RF0115,1.9e-293,978.6,7.1,2.1e-293,978.4,7.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_169313,1
5,China.pigfarm.SRR5976181_ctg_287722_00004,-,RND_efflux,RF0115,4e-286,954.4,18.7,5e-286,954.1,18.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_287722,4
6,China.pigfarm.SRR5976181_ctg_679737_00003,-,RND_efflux,RF0115,4.5e-284,947.7,15.7,5.7e-284,947.3,15.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_679737,3
7,China.pigfarm.SRR5976187_ctg_535108_00002,-,RND_efflux,RF0115,2.8e-280,935.0,16.2,3.2e-280,934.8,16.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MexB   ,China.pigfarm.SRR5976187,ctg_535108,2
8,China.pigfarm.SRR5976187_ctg_163468_00022,-,RND_efflux,RF0115,1e-279,933.1,12.3,1.7e-279,932.3,12.3,1.3,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_163468,22
9,China.pigfarm.SRR5976187_ctg_175532_00004,-,RND_efflux,RF0115,3e-279,931.6,12.8,3.7e-279,931.3,12.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_175532,4
10,China.pigfarm.SRR5976187_ctg_122644_00001,-,RND_efflux,RF0115,2.3e-278,928.7,17.5,2.8e-278,928.4,17.5,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_122644,1
11,China.pigfarm.SRR5976181_ctg_404617_00002,-,RND_efflux,RF0115,4.8e-278,927.7,16.9,5.8e-278,927.4,16.9,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_404617,2
12,China.pigfarm.SRR5976181_ctg_149284_00009,-,RND_efflux,RF0115,6.4e-278,927.3,16.7,7.8e-278,927.0,16.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_149284,9
13,China.pigfarm.SRR5976187_ctg_318500_00004,-,RND_efflux,RF0115,5.8e-278,927.3,21.4,7.1e-278,927.0,21.4,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_318500,4
14,China.pigfarm.SRR5976187_ctg_511062_00003,-,RND_efflux,RF0115,7.5e-278,927.0,16.9,9e-278,926.7,16.9,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_511062,3
15,China.pigfarm.SRR5976187_ctg_107100_00002,-,RND_efflux,RF0115,2.2e-276,922.1,12.1,6.5e-276,920.5,12.1,1.6,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_107100,2
16,China.pigfarm.SRR5976181_ctg_261597_00001,-,RND_efflux,RF0115,2.1e-275,919.0,12.0,4.5e-275,917.9,12.0,1.4,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_261597,1
17,China.pigfarm.SRR5976181_ctg_481153_00020,-,RND_efflux,RF0115,5.7e-275,917.5,13.7,1.7e-274,916.0,13.7,1.6,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_481153,20
18,China.pigfarm.SRR5976187_ctg_173876_00003,-,RND_efflux,RF0115,7.8e-275,917.0,18.3,9.7e-275,916.6,18.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_173876,3
19,China.pigfarm.SRR5976187_ctg_121864_00004,-,RND_efflux,RF0115,1.2e-274,916.4,12.7,1.3e-274,916.2,12.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_121864,4
20,China.pigfarm.SRR5976181_ctg_142694_00002,-,RND_efflux,RF0115,1.5e-274,916.2,14.4,1.8e-274,915.8,14.4,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_142694,2
21,China.pigfarm.SRR5976187_ctg_290229_00003,-,RND_efflux,RF0115,1.8e-274,915.8,11.0,4.3e-274,914.5,11.0,1.5,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_290229,3
22,China.pigfarm.SRR5976181_ctg_373388_00004,-,RND_efflux,RF0115,3.1e-274,915.1,16.9,3.8e-274,914.8,16.9,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_373388,4
23,China.pigfarm.SRR5976181_ctg_102079_00002,-,RND_efflux,RF0115,1.2e-273,913.2,14.3,3.1e-273,911.8,14.3,1.6,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_102079,2
24,China.pigfarm.SRR5976181_ctg_554717_00025,-,RND_efflux,RF0115,5e-273,911.1,21.5,1.9e-155,521.9,12.8,3.0,2,1,0,2,2,2,2,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_554717,25
