,full_id,contig_id,#members,known_gene_ids,unknown_gene_ids,span,members,architecture,member_scores,members_evals
0,China.pigfarm.SRR5976181_ctg_101800_00001,ctg_101800,2,"[1, 2]",[3],3,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(61.1)__(51.2)__(??)__,__(??)__(4.3e-16)__(4.2e-13)__(??)__
1,China.pigfarm.SRR5976181_ctg_101826_00003,ctg_101826,2,"[3, 4]","[2, 5]",4,"MexH,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(??)__,__(??)__(26.2)__(41.8)__(??)__,__(??)__(1.6e-05)__(4.1e-10)__(??)__
2,China.pigfarm.SRR5976181_ctg_102079_00001,ctg_102079,3,"[1, 2, 3]",[4],4,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(166.6)__(913.2)__(220.7)__(??)__,__(??)__(3.9e-48)__(1.2e-273)__(1.6e-64)__(??)__
3,China.pigfarm.SRR5976181_ctg_102692_00030,ctg_102692,2,"[30, 31]","[29, 32]",4,"MexE,adeC-adeK-oprM",__(??)__(MexE)__(adeC-adeK-oprM)__(??)__,__(??)__(52.5)__(68.9)__(??)__,__(??)__(1.7e-13)__(1.8e-18)__(??)__
4,China.pigfarm.SRR5976181_ctg_102692_00027,ctg_102692,1,[27],"[26, 28]",3,Chlor_Acetyltrans_CAT,__(??)__(Chlor_Acetyltrans_CAT)__(??)__,__(??)__(21.4)__(??)__,__(??)__(0.00082)__(??)__
5,China.pigfarm.SRR5976181_ctg_103789_00004,ctg_103789,2,"[4, 6]","[3, 5, 7]",5,"APH3'',tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(APH3'')__(??)__,__(??)__(309.0)__(??)__(53.0)__(??)__,__(??)__(2.9e-91)__(??)__(1.5e-13)__(??)__
6,China.pigfarm.SRR5976181_ctg_105229_00001,ctg_105229,3,"[1, 2, 3]",[4],4,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(117.5)__(888.8)__(272.1)__(??)__,__(??)__(3.3e-33)__(2.8e-266)__(4.4e-80)__(??)__
7,China.pigfarm.SRR5976181_ctg_111473_00002,ctg_111473,2,"[2, 3]","[1, 4]",4,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(731.1)__(24.8)__(??)__,__(??)__(1.2e-218)__(6e-05)__(??)__
8,China.pigfarm.SRR5976181_ctg_112405_00004,ctg_112405,2,"[4, 5]","[3, 6]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(32.5)__(77.1)__(??)__,__(??)__(2.1e-07)__(6e-21)__(??)__
9,China.pigfarm.SRR5976181_ctg_11369_00003,ctg_11369,2,"[3, 4]","[2, 5]",4,"MexE,adeC-adeK-oprM",__(??)__(MexE)__(adeC-adeK-oprM)__(??)__,__(??)__(40.0)__(35.5)__(??)__,__(??)__(1.1e-09)__(2.4e-08)__(??)__
10,China.pigfarm.SRR5976181_ctg_119390_00002,ctg_119390,4,"[2, 3, 4, 5]","[1, 6]",6,"MexH,RND_efflux,RND_efflux,adeC-adeK-oprM",__(??)__(RND_efflux)__(RND_efflux)__(MexH)__(adeC-adeK-oprM)__(??)__,__(??)__(409.6)__(523.0)__(49.5)__(33.6)__(??)__,__(??)__(1.6e-121)__(8.4e-156)__(2e-12)__(9e-08)__(??)__
11,China.pigfarm.SRR5976181_ctg_120231_00001,ctg_120231,2,"[1, 2]",[3],3,"blaI,blaR1",__(??)__(blaR1)__(blaI)__(??)__,__(??)__(31.0)__(29.4)__(??)__,__(??)__(4.8e-07)__(3.3e-06)__(??)__
12,China.pigfarm.SRR5976181_ctg_121931_00002,ctg_121931,2,"[2, 3]","[1, 4]",4,"MexE,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexE)__(??)__,__(??)__(84.5)__(50.5)__(??)__,__(??)__(3.2e-23)__(7.1e-13)__(??)__
13,China.pigfarm.SRR5976181_ctg_125707_00007,ctg_125707,2,"[7, 8]","[6, 9]",4,"MexE,RND_efflux",__(??)__(RND_efflux)__(MexE)__(??)__,__(??)__(681.8)__(47.4)__(??)__,__(??)__(9e-204)__(6.3e-12)__(??)__
14,China.pigfarm.SRR5976181_ctg_128887_00004,ctg_128887,3,"[4, 6, 7]","[3, 5, 8]",6,"RND_efflux,adeA-adeI,tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(240.4)__(??)__(833.2)__(47.5)__(??)__,__(??)__(1.7e-70)__(??)__(1.7e-249)__(5.9e-12)__(??)__
