,index,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id
15485,2292,China.pigfarm.SRR5976185_ctg_145857_00003,-,TetM-TetW-TetO-TetS,RF0133,0.0,1242.4,0.1,0.0,1242.2,0.1,1.0,1,0,0,1,1,1,1,tetracycline resistance ribosomal protection protein Tet(W)  ,China.pigfarm.SRR5976185,ctg_145857,3
12145,2423,China.pigfarm.SRR5976187_ctg_141255_00002,-,TetM-TetW-TetO-TetS,RF0133,0.0,1133.4,4.1,0.0,1133.2,4.1,1.0,1,0,0,1,1,1,1,tetracycline resistance ribosomal protection protein Tet(44) ,China.pigfarm.SRR5976187,ctg_141255,2
22791,2674,China.pigfarm.SRR5976181_ctg_4006_00004,-,TetM-TetW-TetO-TetS,RF0133,0.0,1127.9,4.5,0.0,1127.7,4.5,1.0,1,0,0,1,1,1,1,tetracycline resistance ribosomal protection protein Tet(44) ,China.pigfarm.SRR5976181,ctg_4006,4
154,154,China.pigfarm.SRR5976186_ctg_201908_00001,-,adeB,RF0020,0.0,1029.9,33.5,0.0,1029.6,33.5,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976186,ctg_201908,1
6906,143,China.pigfarm.SRR5976182_ctg_524640_00005,-,adeB,RF0020,0.0,1019.8,26.3,0.0,1019.6,26.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976182,ctg_524640,5
22352,2235,China.pigfarm.SRR5976181_ctg_351864_00003,-,RND_efflux,RF0115,1.9e-299,998.6,7.7,2.3e-299,998.3,7.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepG  ,China.pigfarm.SRR5976181,ctg_351864,3
8522,1759,China.pigfarm.SRR5976182_ctg_281121_00002,-,RND_efflux,RF0115,2.1e-298,994.8,16.6,2.9e-298,994.3,16.6,1.1,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976182,ctg_281121,2
6907,144,China.pigfarm.SRR5976182_ctg_593634_00007,-,adeB,RF0020,8.9e-296,985.7,32.4,1.1e-295,985.4,32.4,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976182,ctg_593634,7
2057,2057,China.pigfarm.SRR5976186_ctg_30609_00005,-,RND_efflux,RF0115,4.1e-295,984.2,5.8,4.5e-295,984.1,5.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976186,ctg_30609,5
22353,2236,China.pigfarm.SRR5976181_ctg_736610_00003,-,RND_efflux,RF0115,1.5e-293,979.1,6.8,1.6e-293,978.9,6.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_736610,3
