,index,Sample id,Contig_and_Gene id,Contig id,gene_id,gene_to_int,Target accession,query_name,Accession,Seq e-value,Seq score,Seq bias,dom e-value,dom score,dom bias,exp,reg,clu,ov,env,dom,rep,inc,description of target
0,1175,China.pigfarm.SRR5976187,100304_00004,100304,00004,4,-,tet_ribosomoal_protect,RF0135,6e-21,76.6,0.0,8.8e-21,76.0,0.0,1.1,1,0,0,1,1,1,1,Elongation factor Tu
1,1537,China.pigfarm.SRR5976187,100304_00018,100304,00018,18,-,APH3'',RF0172,9.2e-14,53.7,0.6,7.3e-13,50.7,0.6,2.0,1,1,0,1,1,1,1,30S ribosomal protein S12
2,1013,China.pigfarm.SRR5976187,100304_00020,100304,00020,20,-,tet_ribosomoal_protect,RF0135,5.3e-90,304.7,0.1,2.4e-88,299.2,0.1,2.6,1,1,0,1,1,1,1,Elongation factor G
3,533,China.pigfarm.SRR5976187,10064_00008,10064,00008,8,-,Chlor_Acetyltrans_CAT,RF0050,4.4e-11,45.1,0.0,5e-11,44.9,0.0,1.1,1,0,0,1,1,1,1,Streptogramin A acetyltransferase
4,1104,China.pigfarm.SRR5976187,101254_00007,101254,00007,7,-,tet_ribosomoal_protect,RF0135,1.1e-41,145.1,0.0,1.1e-27,98.8,0.0,3.1,2,1,0,3,3,3,2,Elongation factor 4
5,918,China.pigfarm.SRR5976187,101583_00004,101583,00004,4,-,macrolide_glycosyl,RF0090,1.2e-42,148.5,0.0,1.3e-42,148.3,0.0,1.0,1,0,0,1,1,1,1,Oleandomycin glycosyltransferase
6,520,China.pigfarm.SRR5976187,103108_00003,103108,00003,3,-,Cfr23_rRNA_methyltrans,RF0048,1.1e-57,198.2,0.0,9.9e-56,191.7,0.0,2.9,1,1,0,1,1,1,1,putative dual-specificity RNA methyltransferase RlmN
7,13,China.pigfarm.SRR5976187,103226_00009,103226,00009,9,-,AAC6-Ib,RF0005,2.1e-06,29.6,0.0,2.5e-05,26.2,0.0,2.1,2,0,0,2,2,2,1,hypothetical protein
8,17,China.pigfarm.SRR5976187,103226_00011,103226,00011,11,-,AAC6-II,RF0006,1.1e-05,27.3,0.0,0.00044,22.1,0.0,2.0,1,1,0,1,1,1,1,Putative ribosomal N-acetyltransferase YdaF
9,1448,China.pigfarm.SRR5976187,104021_00003,104021,00003,3,-,vanT,RF0156,1.5e-83,283.7,0.0,1.9e-83,283.3,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 1
